App ID	#f1818	#f1823	#f1831	#fMS	#fThomas
C18_app105	happy. The young man and 	happy. The young man and 	happy. The young man and 	<lb n="c57-0016__main__22"/> happy–The <del rend="strikethrough" sID="c57-0016__main__d3e3414"/>youth<del eID="c57-0016__main__d3e3414"/> young<del rend="strikethrough" sID="c57-0016__main__d3e3417"/>er<del eID="c57-0016__main__d3e3417"/> man<del rend="strikethrough" sID="c57-0016__main__d3e3420"/>d<del eID="c57-0016__main__d3e3420"/>& 	happy. The young man and 
C18_app106	his 	his 	his 	his 	his 
C18_app107	companion 	companion 	companion 	<lb n="c57-0016__main__23"/> companion, 	companion 
C18_app108	often 	often 	often 	often 	often 
C18_app109	<pb n="055" xml:id="F1818_v2_059"/>went 	<pb n="236" xml:id="F1823_v1_255"/>went 	went 	retired into a corner <lb n="c57-0016__main__24"/> of their common room and wept. 	<pb n="055" xml:id="F1818_v2_059"/>went 
C18_app110	apart, and appeared to weep. 	apart, and appeared to weep. 	apart, and appeared to weep. 		apart, and appeared to weep. 
C18_app111	I saw 	I saw 	I saw 	I saw 	I saw 
C18_app112				<lb n="c57-0016__main__25"/> 	
C18_app113	no cause for 	no cause for 	no cause for 	no cause for 	no cause for 
C18_app114	their unhappiness; 	their unhappiness; 	their unhappiness; 	this unhappiness 	their unhappiness; 
C18_app115	but 	but 	but 	but 	but 
C18_app116				<lb n="c57-0016__main__26"/> 	
C18_app117	I was deeply affected by 	I was deeply affected by 	I was deeply affected by 	I was deeply affected by 	I was deeply affected by 
C18_app118	it. 	it. 	it. 	it – 	it. 
C18_app119	If such 	If such 	If such 	If such 	If such 
C18_app120				<lb n="c57-0016__main__27"/> 	
C18_app121	lovely creatures were 	lovely creatures were 	lovely creatures were 	lovely creatures were 	lovely creatures were 
C18_app122	miserable, 	miserable, 	miserable, 	miserable 	miserable, 
C18_app123	it was 	it was 	it was 	it was 	it was 
C18_app124				<lb n="c57-0016__main__28"/> 	
C18_app125	less strange that 	less strange that 	less strange that 	less strange that 	less strange that 
C18_app126				<del rend="strikethrough" sID="c57-0016__main__d3e3436"/>alone<del rend="strikethrough" sID="c57-0016__main__d3e3438"/>d<del eID="c57-0016__main__d3e3438"/><del eID="c57-0016__main__d3e3436"/> 	
C18_app127	I, an imperfect 	I, an imperfect 	I, an imperfect 	I, an imperfect 	I, an imperfect 
C18_app128				<lb n="c57-0016__main__29"/> 	
C18_app129	and solitary 	and solitary 	and solitary 	and solitary 	and solitary 
C18_app130	being, 	being, 	being, 	being 	being, 
C18_app131	should be 	should be 	should be 	should be 	should be 
C18_app132	wretched. 	wretched. 	wretched. 	wretched—<lb n="c57-0017__main__1"/> 	wretched. 
C18_app133	Yet why were these gentle beings 	Yet why were these gentle beings 	Yet why were these gentle beings 	yet why were these gentle beings 	Yet why were these gentle beings 
C18_app134	unhappy? 	unhappy? 	unhappy? 	un <lb n="c57-0017__main__2"/> happy – 	<del sID="novel1_letter4_chapter11_div4_div12_p4_del1"/>unhappy<del eID="novel1_letter4_chapter11_div4_div12_p4_del1"/>sorrowful? 
C18_app135	They possessed a delightful house 	They possessed a delightful house 	They possessed a delightful house 	they poss<metamark function="insert">^</metamark>essed a delightful house 	They possessed a delightful house 
C18_app136	(for 	(for 	(for 	<lb n="c57-0017__main__3"/><lb n="c57-0017__left_margin__1"/>for 	(for 
C18_app137	such it was 	such it was 	such it was 	such <metamark function="insert">^</metamark>it was 	such it was 
C18_app138	in 	in 	in 	<mdel>it</mdel><mdel>to</mdel>in 	in 
C18_app139	my 	my 	my 	my 	my 
C18_app140	eyes), 	eyes) 	eyes) 	eyes) 	eyes), 
C18_app141	and every 	and every 	and every 	and every 	and every 
C18_app142	luxury; 	luxury; 	luxury; 	<lb n="c57-0017__main__4"/> luxury. 	luxury; 
C18_app143	they had a fire to warm 	they had a fire to warm 	they had a fire to warm 	they had a fire to warm 	they had a fire to warm 
C18_app144				<lb n="c57-0017__main__5"/> 	
C18_app145	them when 	them when 	them when 	them when 	them when 
C18_app146	chill, 	chill, 	chill, 	chill 	chill, 
C18_app147	and delicious viands when 	and delicious viands when 	and delicious viands when 	and delicious viands<lb n="c57-0017__main__6"/> when 	and delicious viands when 
C18_app148	hungry; 	hungry; 	hungry; 	hungry– 	hungry; 
C18_app149	they were dressed 	they were dressed 	they were dressed 	they were dressed 	they were dressed 
C18_app150				<lb n="c57-0017__main__7"/><del rend="strikethrough" sID="c57-0017__main__d3e3517"/>in clothes that kept t<del eID="c57-0017__main__d3e3517"/> 	
C18_app151	in 	in 	in 	in 	in 
